"FRAUD_MSG_LIST","Fraud Messages"
"Your order # is: <strong>%1</strong>","Número del pedido: <strong>%1</strong>"
"Date: <strong>%1</strong>","Fecha: <strong>%1</strong>"
"Total: <strong>$%1</strong>","Total a pagar: <strong>$%1</strong>"
"Payment method: <strong>%1</strong>","Método de pago: <strong>%1</strong>"
"Click on the button below to complete your order.","Haga click en el botón para completar la compra."
"Pay with MODO","Pagar con "
"User authenticated.","Tus credenciales son validas."
"User not authenticated.","Tus credenciales no son validas."
"Credentials section is incomplete. Please, complete the section and try again.","Configura tus credenciales para poder validarlas."
"Check if your credentials are correct for validate the callback url.","Verifica tus credenciales para validar la URL callback"
"The URL registered is different than declared in the module.","La URL registrada es diferente a la declarada en el modulo"
"Callback Registered.","Callback registrado."
